	SNP count	sample size
1686	11	1686
1685	2	1685
1676	14	1676
1665	15	1665
1663	18	1663
1662	14	1662
1653	7	1653
1650	16	1650
1649	8	1649
1648	11	1648
1647	8	1647
1646	9	1646
1645	7	1645
1644	10	1644
1642	22	1642
1641	9	1641
1640	9	1640
1638	19	1638
1637	27	1637
1636	44	1636
1635	9	1635
1634	9	1634
1633	18	1633
1632	8	1632
1631	8	1631
1628	16	1628
1627	21	1627
1626	16	1626
1625	17	1625
1624	5	1624
1622	9	1622
1617	16	1617
1609	516	1609
1608	99	1608
1607	36	1607
1606	37	1606
1605	12	1605
1604	25	1604
1603	13	1603
1601	9	1601
1590	12	1590
1589	12	1589
1588	26	1588
1587	17	1587
1585	14	1585
1583	16	1583
1581	10	1581
1572	9	1572
1570	12	1570
1568	7	1568
1566	19	1566
1565	17	1565
1564	9	1564
1551	9	1551
1550	13	1550
1545	28	1545
1544	32	1544
1542	20	1542
1541	8	1541
1540	9	1540
1537	12	1537
1533	19	1533
1528	32	1528
1527	9	1527
1526	8	1526
1519	13	1519
1517	8	1517
1514	9	1514
1513	10	1513
1511	9	1511
1507	8	1507
1504	8	1504
1501	12	1501
1498	10	1498
1497	22	1497
1496	15	1496
1495	15	1495
1489	9	1489
1484	710	1484
1483	79	1483
1482	27	1482
1475	9	1475
1462	13	1462
1458	8	1458
1456	10	1456
1450	9	1450
1446	22	1446
1441	48	1441
1440	36	1440
1439	16	1439
1435	9	1435
1427	14	1427
1422	12	1422
1419	34	1419
1418	9	1418
1417	12	1417
1412	24	1412
1410	96	1410
1404	10	1404
1399	47	1399
1398	20	1398
1397	10	1397
1395	10	1395
1393	2	1393
1391	10	1391
1388	37	1388
1386	3	1386
1384	11	1384
1382	9	1382
1373	1	1373
1370	12	1370
1369	9	1369
1364	26	1364
1361	7	1361
1347	11	1347
1341	28	1341
1338	11	1338
1336	8	1336
1330	10	1330
1326	14	1326
1320	11	1320
1318	9	1318
1314	13	1314
1306	9	1306
1304	10	1304
1302	14	1302
1301	17	1301
1300	8	1300
1297	14	1297
1292	8	1292
1291	5	1291
1287	16	1287
1286	15	1286
1279	265	1279
1276	9	1276
1274	9	1274
1270	9	1270
1268	19	1268
1265	30	1265
1264	4	1264
1259	1	1259
1257	22	1257
1248	1	1248
1238	13	1238
1237	29	1237
1236	13	1236
1235	14	1235
1233	13	1233
1231	38	1231
1230	411	1230
1229	504	1229
1228	410	1228
1227	370	1227
1226	233	1226
1225	212	1225
1224	177	1224
1223	259	1223
1222	89	1222
1221	72	1221
1220	39	1220
1219	61	1219
1218	24	1218
1217	48	1217
1216	62	1216
1215	30	1215
1214	16	1214
1213	19	1213
1212	8	1212
1211	147	1211
1210	27	1210
1209	39	1209
1207	55	1207
1205	23	1205
1204	10	1204
1203	61	1203
1202	6	1202
1201	14	1201
1198	53	1198
1196	9	1196
1195	10	1195
1194	20	1194
1193	10	1193
1192	12	1192
1191	12	1191
1190	38	1190
1189	11	1189
1187	10	1187
1186	9	1186
1183	6	1183
1181	9	1181
1176	12	1176
1160	8	1160
1156	26	1156
1155	19	1155
1154	8	1154
1153	20	1153
1152	2	1152
1151	34	1151
1150	16	1150
1149	14	1149
1148	41	1148
1147	14	1147
1146	10	1146
1145	20	1145
1144	15	1144
1143	10	1143
1142	3	1142
1141	9	1141
1140	36	1140
1139	14	1139
1138	26	1138
1137	15	1137
1136	12	1136
1135	2	1135
1134	25	1134
1131	4	1131
1130	3	1130
1129	5	1129
1128	10	1128
1127	15	1127
1125	26	1125
1124	15	1124
1122	25	1122
1121	14	1121
1118	25	1118
1117	21	1117
1116	9	1116
1112	40	1112
1109	12	1109
1105	153	1105
1104	237	1104
1103	116	1103
1102	64	1102
1101	83	1101
1100	72	1100
1099	53	1099
1098	34	1098
1097	78	1097
1096	57	1096
1095	55	1095
1094	67	1094
1093	28	1093
1092	74	1092
1091	32	1091
1090	27	1090
1089	19	1089
1088	48	1088
1087	8	1087
1086	27	1086
1085	32	1085
1084	8	1084
1083	29	1083
1082	50	1082
1081	12	1081
1080	10	1080
1078	18	1078
1077	10	1077
1076	19	1076
1075	18	1075
1074	20	1074
1073	10	1073
1072	18	1072
1071	8	1071
1070	15	1070
1069	11	1069
1067	32	1067
1065	8	1065
1058	8	1058
1057	13	1057
1056	9	1056
1044	67	1044
1040	57	1040
1038	21	1038
1037	11	1037
1033	15	1033
1032	15	1032
1031	143	1031
1030	45	1030
1029	28	1029
1028	61	1028
1027	31	1027
1026	52	1026
1025	77	1025
1024	54	1024
1023	41	1023
1022	50	1022
1021	390	1021
1020	86	1020
1019	45	1019
1018	28	1018
1017	45	1017
1016	60	1016
1015	31	1015
1014	26	1014
1013	27	1013
1012	42	1012
1011	29	1011
1010	17	1010
1009	47	1009
1008	26	1008
1007	94	1007
1006	59	1006
1005	36	1005
1004	22	1004
1003	17	1003
1002	30	1002
1001	25	1001
1000	13	1000
999	17	999
998	7	998
997	27	997
996	21	996
995	16	995
994	14	994
993	18	993
992	18	992
991	17	991
990	28	990
989	1	989
987	2	987
986	16	986
985	1	985
983	3	983
981	19	981
980	12	980
977	19	977
976	70	976
975	9	975
973	18	973
972	38	972
970	11	970
968	9	968
967	13	967
966	20	966
965	19	965
964	10	964
960	13	960
954	8	954
949	24	949
944	24	944
942	14	942
940	9	940
938	8	938
937	9	937
932	33	932
930	24	930
924	2	924
923	1	923
916	5	916
915	16	915
912	2	912
903	10	903
902	8	902
901	23	901
900	39	900
897	2	897
896	15	896
895	8	895
894	14	894
893	2	893
888	10	888
882	17	882
881	20	881
880	10	880
879	26	879
874	9	874
873	9	873
869	11	869
868	13	868
867	11	867
866	10	866
864	17	864
863	7	863
859	12	859
854	8	854
853	13	853
852	8	852
851	71	851
850	46	850
849	21	849
848	14	848
843	13	843
841	15	841
829	21	829
827	15	827
826	103	826
823	25	823
822	22	822
820	28	820
813	10	813
808	28	808
807	9	807
806	26	806
805	3	805
804	4	804
803	14	803
802	10	802
801	19	801
799	6	799
798	30	798
797	28	797
796	5	796
795	20	795
794	8	794
793	13	793
792	28	792
791	4	791
789	2	789
788	6	788
786	2	786
784	3	784
783	38	783
781	13	781
779	5	779
778	16	778
777	162	777
776	76	776
775	46	775
774	32	774
773	22	773
772	19	772
771	4	771
770	9	770
769	8	769
768	2	768
767	33	767
766	11	766
765	2	765
764	5	764
762	8	762
761	9	761
760	10	760
759	13	759
758	12	758
757	9	757
756	14	756
755	21	755
754	35	754
753	5	753
752	4	752
751	3	751
749	2	749
748	3	748
746	5	746
745	10	745
744	2	744
742	4	742
737	32	737
734	14	734
732	8	732
730	3	730
726	17	726
724	9	724
722	6	722
709	16	709
708	15	708
704	13	704
700	8	700
691	42	691
686	7	686
684	17	684
679	27	679
677	15	677
675	13	675
