file_name	gene_id
2695-25_1_one.out.merged.h.tsv	ENSG00000261371
2696-87_2_one.out.merged.h.tsv	ENSG00000125650
2697-7_2_one.out.merged.h.tsv	ENSG00000163737
2700-56_2_one.out.merged.h.tsv	ENSG00000184500
2704-74_1_one.out.merged.h.tsv	ENSG00000240505
2705-5_2_one.out.merged.h.tsv	ENSG00000131142
2706-69_2_one.out.merged.h.tsv	ENSG00000123561
2708-54_2_one.out.merged.h.tsv	ENSG00000120337
2711-6_2_one.out.merged.h.tsv	ENSG00000122756
2714-78_2_one.out.merged.h.tsv	ENSG00000164022
2715-25_2_one.out.merged.h.tsv	ENSG00000187266
2719-3_4_one.out.merged.h.tsv	ENSG00000119535
2723-9_2_one.out.merged.h.tsv	ENSG00000125571
2728-62_2_one.out.merged.h.tsv	ENSG00000101680
2728-62_2_one.out.merged.h.tsv	ENSG00000091136
2728-62_2_one.out.merged.h.tsv	ENSG00000135862
2730-58_2_one.out.merged.h.tsv	ENSG00000204520
2731-29_2_one.out.merged.h.tsv	ENSG00000127948
2732-58_3_one.out.merged.h.tsv	ENSG00000111704
2734-49_4_one.out.merged.h.tsv	ENSG00000096264
2737-22_2_one.out.merged.h.tsv	ENSG00000136999
2741-22_2_one.out.merged.h.tsv	ENSG00000105492
2742-68_2_one.out.merged.h.tsv	ENSG00000168995
2743-5_2_one.out.merged.h.tsv	ENSG00000164690
2746-56_1_one.out.merged.h.tsv	ENSG00000205755
2747-3_2_one.out.merged.h.tsv	ENSG00000131019
2748-3_2_one.out.merged.h.tsv	ENSG00000122641
2751-16_2_one.out.merged.h.tsv	ENSG00000172232
2752-62_2_one.out.merged.h.tsv	ENSG00000125965
2753-2_2_one.out.merged.h.tsv	ENSG00000173372
2753-2_2_one.out.merged.h.tsv	ENSG00000173369
2753-2_2_one.out.merged.h.tsv	ENSG00000159189
2754-50_2_one.out.merged.h.tsv	ENSG00000125730
2755-8_2_one.out.merged.h.tsv	ENSG00000125730
2760-2_2_one.out.merged.h.tsv	ENSG00000168309
2761-49_2_one.out.merged.h.tsv	ENSG00000156427
2762-30_2_one.out.merged.h.tsv	ENSG00000162344
2763-66_2_one.out.merged.h.tsv	ENSG00000078579
2764-20_2_one.out.merged.h.tsv	ENSG00000102678
2765-4_3_one.out.merged.h.tsv	ENSG00000135414
2768-56_2_one.out.merged.h.tsv	ENSG00000110169
2769-3_2_one.out.merged.h.tsv	NA
2769-3_2_one.out.merged.h.tsv	NA
