file_name	gene_id
APLP2.10627.87.3.tsv	ENSG00000084234
APLP2.7915.31.3.tsv	ENSG00000084234
APMAP.10605.22.3.tsv	ENSG00000101474
APOA5.11318.20.3.tsv	ENSG00000110243
APOA5.12908.15.3.tsv	ENSG00000110243
APOB.2797.56.2.tsv	ENSG00000084674
APOBEC3G.13930.3.3.tsv	ENSG00000239713
APOD.4712.28.2.tsv	ENSG00000189058
APOD.8262.20.3.tsv	ENSG00000189058
APOE.2937.10.2.tsv	ENSG00000130203
APOE.5312.49.3.tsv	ENSG00000130203
APOF.12370.30.3.tsv	ENSG00000175336
APOL1.11510.31.3.tsv	ENSG00000100342
APOL1.9506.10.3.tsv	ENSG00000100342
APOM.10445.20.3.tsv	ENSG00000204444
APOM.14125.5.3.tsv	ENSG00000204444
APOO.9373.405.3.tsv	ENSG00000184831
APP.3171.57.2.tsv	ENSG00000142192
APPL1.12825.18.3.tsv	ENSG00000157500
AREG.2970.60.2.tsv	ENSG00000109321
ARF3.12578.13.3.tsv	ENSG00000134287
ARF6.12425.104.3.tsv	ENSG00000165527
ARFGAP2.11664.32.3.tsv	ENSG00000149182
ARFIP1.13488.3.3.tsv	ENSG00000164144
ARFIP2.12630.8.3.tsv	ENSG00000132254
ARHGAP1.11955.1.3.tsv	ENSG00000175220
ARHGAP25.11333.82.3.tsv	ENSG00000163219
ARHGAP30.12807.89.3.tsv	ENSG00000186517
ARHGAP36.6289.78.3.tsv	ENSG00000147256
ARHGAP5.14748.31.3.tsv	ENSG00000100852
ARHGDIA.6454.38.3.tsv	ENSG00000141522
ARHGDIB.9846.32.3.tsv	ENSG00000111348
ARHGEF1.13976.9.3.tsv	ENSG00000076928
ARHGEF10.9061.3.3.tsv	ENSG00000104728
ARHGEF2.12848.9.3.tsv	ENSG00000116584
ARHGEF25.13519.112.3.tsv	ENSG00000240771
ARHGEF7.13932.45.3.tsv	ENSG00000102606
ARID3A.3875.62.1.tsv	ENSG00000116017
ARL1.12392.30.3.tsv	ENSG00000120805
ARL11.12433.8.3.tsv	ENSG00000152213
ARL3.12571.14.3.tsv	ENSG00000138175
ARMC5.8785.1.3.tsv	ENSG00000140691
ARMC5.8816.44.3.tsv	ENSG00000140691
ARMC5.9945.8.3.tsv	ENSG00000140691
ARPC3.13573.5.3.tsv	ENSG00000111229
ARPP19.4963.19.1.tsv	ENSG00000128989
ARPP21.12860.7.3.tsv	ENSG00000172995
ARRB1.12643.4.3.tsv	ENSG00000137486
ARRDC3.12352.70.3.tsv	ENSG00000113369
ARSA.3583.54.4.tsv	ENSG00000100299
ARSB.3172.28.2.tsv	ENSG00000113273
ARSK.8269.327.3.tsv	ENSG00000164291
ART3.10970.3.3.tsv	ENSG00000156219
ART3.7970.315.3.tsv	ENSG00000156219
ART4.6576.1.3.tsv	ENSG00000111339
ARTN.2939.10.2.tsv	ENSG00000117407
ASAH1.5748.20.3.tsv	ENSG00000104763
ASAH2.3212.30.3.tsv	ENSG00000188611
ASAP2.13518.5.3.tsv	ENSG00000151693
ASCC1.10647.18.3.tsv	ENSG00000138303
ASGR1.5452.71.3.tsv	ENSG00000141505
ASGR2.9474.22.3.tsv	ENSG00000161944
ASH1L.12622.96.3.tsv	ENSG00000116539
ASH2L.12832.10.3.tsv	ENSG00000129691
ASIC4.6951.26.3.tsv	ENSG00000072182
ASIP.5676.54.3.tsv	ENSG00000101440
ASL.11241.8.3.tsv	ENSG00000126522
ASMTL.10089.7.3.tsv	ENSG00000169093
ASNA1.13620.10.3.tsv	ENSG00000198356
ASPH.6998.106.3.tsv	ENSG00000198363
ASPN.6451.64.3.tsv	ENSG00000106819
ASPRV1.13023.8.3.tsv	ENSG00000244617
ASTL.7993.23.3.tsv	ENSG00000188886
ATAD1.6625.31.3.tsv	ENSG00000138138
ATAD2.13043.157.3.tsv	ENSG00000156802
ATF6.11277.23.3.tsv	ENSG00000118217
ATG7.12627.97.3.tsv	ENSG00000197548
ATP1A1.11993.227.3.tsv	ENSG00000163399
ATP1B2.7218.87.3.tsv	ENSG00000129244
ATP2A3.13510.7.3.tsv	ENSG00000074370
ATP4B.9994.217.3.tsv	ENSG00000186009
ATP5B.4965.27.1.tsv	ENSG00000110955
AURKA.3091.70.2.tsv	ENSG00000087586
AURKB.3346.72.2.tsv	ENSG00000178999
AXIN2.12925.105.3.tsv	ENSG00000168646
AXIN2.8429.16.3.tsv	ENSG00000168646
AZGP1.9312.8.3.tsv	ENSG00000160862
B3GALT6.7981.230.3.tsv	ENSG00000176022
B3GALTL.5727.35.3.tsv	ENSG00000187676
B3GAT3.6897.38.3.tsv	ENSG00000149541
B3GNT1.8259.25.3.tsv	ENSG00000174684
B3GNT2.7980.72.3.tsv	ENSG00000170340
B3GNT6.7082.2.3.tsv	ENSG00000198488
B3GNT8.9297.12.3.tsv	ENSG00000177191
B4GALT1.13381.49.3.tsv	ENSG00000086062
B4GALT2.9595.11.3.tsv	ENSG00000117411
B4GALT3.6921.24.3.tsv	ENSG00000158850
B4GALT5.10425.3.3.tsv	ENSG00000158470
B4GALT6.10832.24.3.tsv	ENSG00000118276
B4GALT7.7806.33.3.tsv	ENSG00000027847
BACH1.12451.62.3.tsv	ENSG00000156273
BACH2.12756.3.3.tsv	ENSG00000112182
BAD.5870.23.2.tsv	ENSG00000002330
BAG3.10078.5.3.tsv	ENSG00000151929
BAG4.12844.10.3.tsv	ENSG00000156735
BAGE2.6294.11.3.tsv	ENSG00000187172
BAGE3.6442.6.3.tsv	NA
BARD1.13977.28.3.tsv	ENSG00000138376
BATF3.8858.21.3.tsv	ENSG00000123685
BCAM.2816.50.2.tsv	ENSG00000187244
BCAN.3461.58.1.tsv	ENSG00000132692
BCAP29.11570.94.3.tsv	ENSG00000075790
BCAR3.12634.79.3.tsv	ENSG00000137936
BCL10.8768.4.3.tsv	ENSG00000142867
BCL2.3412.7.1.tsv	ENSG00000171791
BCL2A1.3413.50.2.tsv	ENSG00000140379
BCL2L1.4423.77.2.tsv	ENSG00000171552
BCL2L2.13097.11.3.tsv	ENSG00000129473
BCL2L2.7134.14.3.tsv	ENSG00000129473
BCL6.13640.5.3.tsv	ENSG00000113916
BDNF.2421.7.3.tsv	ENSG00000176697
BDP1.8929.7.3.tsv	ENSG00000145734
BECN1.13032.1.3.tsv	ENSG00000126581
BET1L.10959.125.3.tsv	ENSG00000177951
BGLAP.11067.13.3.tsv	ENSG00000242252
BGN.13690.26.3.tsv	ENSG00000182492
BGN.3284.75.1.tsv	ENSG00000182492
BID.5798.3.3.tsv	ENSG00000015475
BIN1.9574.11.3.tsv	ENSG00000136717
BIRC3.4973.18.1.tsv	ENSG00000023445
BIRC5.3472.40.2.tsv	ENSG00000089685
BLVRA.11382.5.3.tsv	ENSG00000106605
BMP10.3587.53.2.tsv	ENSG00000163217
BMP6.3736.60.3.tsv	ENSG00000153162
BMP6.8459.10.3.tsv	ENSG00000153162
BMP7.2972.57.2.tsv	ENSG00000101144
BMPER.3654.27.5.tsv	ENSG00000164619
BMPR1A.4859.6.1.tsv	ENSG00000107779
BMX.3414.40.2.tsv	ENSG00000102010
